NUM_WEEK,NUM_YEAR,ID_WORKER,TYPE
29,2014,58,"Maladie / AT"
30,2014,58,"Maladie / AT"
31,2014,58,"Maladie / AT"
32,2014,58,"Maladie / AT"
33,2014,58,"Maladie / AT"
34,2014,58,"Maladie / AT"
35,2014,58,"Maladie / AT"
36,2014,58,"Maladie / AT"
36,2014,59,conges
27,2014,62,conges
28,2014,62,conges
26,2014,69,dépot
27,2014,69,dépot
28,2014,69,dépot
29,2014,69,dépot
30,2014,69,dépot
31,2014,69,dépot
32,2014,69,dépot
33,2014,69,dépot
34,2014,69,dépot
35,2014,69,dépot
36,2014,69,dépot
26,2014,70,cagnes
27,2014,70,cagnes
28,2014,70,cagnes
29,2014,70,cagnes
30,2014,70,cagnes
31,2014,70,cagnes
32,2014,70,cagnes
33,2014,70,cagnes
34,2014,70,cagnes
35,2014,70,cagnes
36,2014,70,cagnes
26,2014,74,"Maladie / AT"
27,2014,74,"Maladie / AT"
28,2014,74,"Maladie / AT"
29,2014,74,"Maladie / AT"
30,2014,74,"Maladie / AT"
31,2014,74,"Maladie / AT"
32,2014,74,"Maladie / AT"
33,2014,74,"Maladie / AT"
34,2014,74,"Maladie / AT"
35,2014,74,"Maladie / AT"
36,2014,74,"Maladie / AT"
26,2014,75,cagnes
27,2014,75,cagnes
28,2014,75,cagnes
29,2014,75,cagnes
30,2014,75,cagnes
31,2014,75,cagnes
32,2014,75,cagnes
33,2014,75,cagnes
34,2014,75,cagnes
35,2014,75,cagnes
36,2014,75,cagnes
26,2014,76,dépot
27,2014,76,dépot
28,2014,76,dépot
29,2014,76,dépot
30,2014,76,dépot
31,2014,76,dépot
32,2014,76,dépot
33,2014,76,dépot
34,2014,76,dépot
35,2014,76,dépot
36,2014,76,dépot
26,2014,77,"Maladie / AT"
27,2014,77,"Maladie / AT"
28,2014,77,"Maladie / AT"
29,2014,77,"Maladie / AT"
30,2014,77,"Maladie / AT"
31,2014,77,"Maladie / AT"
32,2014,77,"Maladie / AT"
33,2014,77,"Maladie / AT"
34,2014,77,"Maladie / AT"
35,2014,77,"Maladie / AT"
36,2014,77,"Maladie / AT"
26,2014,81,cagnes
27,2014,81,cagnes
28,2014,81,cagnes
29,2014,81,cagnes
30,2014,81,cagnes
31,2014,81,cagnes
32,2014,81,cagnes
33,2014,81,cagnes
34,2014,81,cagnes
35,2014,81,cagnes
36,2014,81,cagnes
26,2014,86,cagnes
27,2014,86,cagnes
28,2014,86,cagnes
29,2014,86,cagnes
30,2014,86,cagnes
31,2014,86,cagnes
32,2014,86,cagnes
33,2014,86,cagnes
34,2014,86,cagnes
35,2014,86,cagnes
36,2014,86,cagnes
26,2014,88,depot
27,2014,88,depot
28,2014,88,depot
29,2014,88,depot
30,2014,88,depot
31,2014,88,depot
32,2014,88,depot
33,2014,88,depot
34,2014,88,depot
35,2014,88,depot
36,2014,88,depot
26,2014,93,depot
27,2014,93,depot
28,2014,93,depot
29,2014,93,depot
30,2014,93,depot
31,2014,93,depot
32,2014,93,depot
33,2014,93,depot
34,2014,93,depot
35,2014,93,depot
36,2014,93,depot
26,2014,97,cagnes
27,2014,97,cagnes
28,2014,97,cagnes
29,2014,97,cagnes
30,2014,97,cagnes
31,2014,97,cagnes
32,2014,97,cagnes
33,2014,97,cagnes
34,2014,97,cagnes
35,2014,97,cagnes
36,2014,97,cagnes
26,2014,103,cagnes
27,2014,103,cagnes
28,2014,103,cagnes
29,2014,103,cagnes
30,2014,103,cagnes
31,2014,103,cagnes
32,2014,103,cagnes
33,2014,103,cagnes
34,2014,103,cagnes
35,2014,103,cagnes
36,2014,103,cagnes
26,2014,104,depot
27,2014,104,depot
28,2014,104,depot
29,2014,104,depot
30,2014,104,depot
31,2014,104,depot
32,2014,104,depot
33,2014,104,depot
34,2014,104,depot
35,2014,104,depot
36,2014,104,depot
26,2014,105,depot
27,2014,105,depot
